Crop,Planted Date,Started Count,Germination Avg Temp,Germination Date,Germination Percent,Grow Count,Grow Avg Temp,Harvest Date,Harvest Percent,Harvest Count,Notes
Assorted Lettuce,3/9/2024,1/2 Tray,48/57/60,Germination Date,Germination Percent,Grow Count,Grow Avg Temp,Harvest Date,Harvest Percent,Harvest Count,Heater failure on day 2
Garlic Chives,3/9/2024,1/2 Tray,48/57/60,Germination Date,Germination Percent,Grow Count,Grow Avg Temp,Harvest Date,Harvest Percent,Harvest Count,Heater failure on day 2
San Marzano Tomato,3/9/2024,1 Tray,48/57/60,Germination Date,Germination Percent,Grow Count,Grow Avg Temp,Harvest Date,Harvest Percent,Harvest Count,Heater failure on day 2
Mild Microgreen Mix,3/9/2024,1 Tray,48/57/60,Germination Date,Germination Percent,Grow Count,Grow Avg Temp,Harvest Date,Harvest Percent,Harvest Count,Heater failure on day 2
Spicy Microgreen Mix,3/9/2024,1 Tray,48/57/60,Germination Date,Germination Percent,Grow Count,Grow Avg Temp,Harvest Date,Harvest Percent,Harvest Count,Heater failure on day 2
Assorted Lettuce,3/11/2024,2 Trays,60,Germination Date,Germination Percent,Grow Count,Grow Avg Temp,Harvest Date,Harvest Percent,Harvest Count,Notes
